candidate division TM7 single-cell isolate TM7c	447456 1895827 95818 1783234 2323 2 131567 
butyrate-producing bacterium SS3/4	245014 39779 186813 186802 186801 1239 1783272 2 131567 
[Eubacterium] infirmum	56774 543314 538999 186802 186801 1239 1783272 2 131567 
[Clostridium] difficile	1496 1870884 186804 186802 186801 1239 1783272 2 131567 
Turicibacter sp. HGF1	910310 2638206 191303 128827 526525 526524 1239 1783272 2 131567 
Turicibacter sanguinis	154288 191303 128827 526525 526524 1239 1783272 2 131567 
Thermincola potens	863643 278993 186807 186802 186801 1239 1783272 2 131567 
Tannerella sp. 6_1_58FAA_CT1	665949 2620507 195950 2005525 171549 200643 976 68336 1783270 2 131567 
Subdoligranulum sp. 4_3_54A2FAA	665956 292632 541000 186802 186801 1239 1783272 2 131567 
Ruminococcus sp. 18P13	213810 1161942 1263 541000 186802 186801 1239 1783272 2 131567 
Ruminococcus albus	1264 1263 541000 186802 186801 1239 1783272 2 131567 
Ruminococcaceae bacterium D16	552398 2305133 552397 541000 186802 186801 1239 1783272 2 131567 
Roseburia inulinivorans	360807 841 186803 186802 186801 1239 1783272 2 131567 
Roseburia intestinalis	166486 841 186803 186802 186801 1239 1783272 2 131567 
Roseburia hominis	301301 841 186803 186802 186801 1239 1783272 2 131567 
Rhodospirillum rubrum	1085 1081 41295 204441 28211 1224 2 131567 
Pseudomonas aeruginosa	287 136841 286 135621 72274 1236 1224 2 131567 
Pseudoflavonifractor capillosus	106588 1017280 541000 186802 186801 1239 1783272 2 131567 
Prevotella sp. oral taxon 302	671218 1283313 171552 171549 200643 976 68336 1783270 2 131567 
Prevotella ruminicola	839 838 171552 171549 200643 976 68336 1783270 2 131567 
Parasutterella excrementihominis	487175 577310 995019 80840 28216 1224 2 131567 
Parabacteroides merdae	46503 375288 2005525 171549 200643 976 68336 1783270 2 131567 
Oscillibacter valericigenes	351091 459786 216572 186802 186801 1239 1783272 2 131567 
Olsenella uli	133926 133925 1643824 84999 84998 201174 1783272 2 131567 
Olsenella sp. oral taxon 809	661086 2638792 133925 1643824 84999 84998 201174 1783272 2 131567 
Odoribacter splanchnicus	28118 283168 1853231 171549 200643 976 68336 1783270 2 131567 
Odoribacter laneus	626933 283168 1853231 171549 200643 976 68336 1783270 2 131567 
Micavibrio aeruginosavorus	349221 213485 82117 28211 1224 2 131567 
Marvinbryantia formatexigens	168384 248744 186803 186802 186801 1239 1783272 2 131567 
Mahella australiensis	252966 252965 543372 68295 186801 1239 1783272 2 131567 
Magnetospirillum gryphiswaldense	55518 13134 41295 204441 28211 1224 2 131567 
Leuconostoc citreum	33964 1243 81850 186826 91061 1239 1783272 2 131567 
Lactococcus lactis	1358 1357 1300 186826 91061 1239 1783272 2 131567 
Lactobacillus reuteri	1598 1578 33958 186826 91061 1239 1783272 2 131567 
Lactobacillus johnsonii	33959 1578 33958 186826 91061 1239 1783272 2 131567 
Lactobacillus animalis	1605 1578 33958 186826 91061 1239 1783272 2 131567 
Lachnospiraceae bacterium 7_1_58FAA	658087 186928 186803 186802 186801 1239 1783272 2 131567 
Lachnospiraceae bacterium 3_1_57FAA_CT1	658086 186928 186803 186802 186801 1239 1783272 2 131567 
Lachnospiraceae bacterium 1_4_56FAA	658655 186928 186803 186802 186801 1239 1783272 2 131567 
Helicobacter winghamensis	157268 209 72293 213849 29547 68525 1224 2 131567 
Helicobacter hepaticus	32025 209 72293 213849 29547 68525 1224 2 131567 
Gloeobacter violaceus	33072 33071 1890422 307595 307596 1117 1798711 1783272 2 131567 
Flavonifractor plautii	292800 946234 541000 186802 186801 1239 1783272 2 131567 
Eubacterium ventriosum	39496 1730 186806 186802 186801 1239 1783272 2 131567 
Eubacterium siraeum	39492 552397 541000 186802 186801 1239 1783272 2 131567 
Eubacterium eligens	39485 1730 186806 186802 186801 1239 1783272 2 131567 
Eubacterium biforme	1735 1573535 128827 526525 526524 1239 1783272 2 131567 
Escherichia coli	562 561 543 91347 1236 1224 2 131567 
Erysipelotrichaceae bacterium 5_2_54FAA	552396 544447 433334 128827 526525 526524 1239 1783272 2 131567 
Erysipelotrichaceae bacterium 3_1_53	658659 544447 433334 128827 526525 526524 1239 1783272 2 131567 
Eggerthella sp. YY7918	502558 2648737 84111 1643826 1643822 84998 201174 1783272 2 131567 
Eggerthella sp. HGA1	910311 2648737 84111 1643826 1643822 84998 201174 1783272 2 131567 
Eggerthella lenta	84112 84111 1643826 1643822 84998 201174 1783272 2 131567 
Desulfovibrio sp. 6_1_46AFAA	665942 2593640 872 194924 213115 28221 68525 1224 2 131567 
Denitrovibrio acetiphilus	118000 117999 191394 191393 68337 200930 2 131567 
Coprobacillus sp. 29_1	100884 100883 128827 526525 526524 1239 1783272 2 131567 
Clostridium thermocellum	1515 2304692 2304686 186802 186801 1239 1783272 2 131567 
