name;reference;cumulated_abundance;0.0005_C.sindens;0.0001_C.sindens
Achromobacter_xylosoxidans;GCF_001457475;0.003401384;0.003403236;0.003404598
Agrobacterium_tumefaciens;GCF_000016265;0.002470556;0.002471902;0.002472891
Alistipes_indistinctus;GCF_000231275;0.002316415;0.002317676;0.002318603
Alistipes_sp._HGB5;GCF_000183485;0.460488146;0.460738863;0.460923251
Anaerotruncus_colihominis;GCF_000154565;0.002602865;0.002604282;0.002605325
Azospirillum_brasilense;GCF_001315015;0.003376706;0.003378544;0.003379896
Bacteroides_fragilis;GCF_000009925;5.85092E-05;5.8541E-05;5.85644E-05
Bacteroides_sp._2_1_33B;GCF_000162175;0.000250599;0.000250735;0.000250836
Bacteroides_sp._D20;GCF_003438145;3.44654E-05;3.44842E-05;3.4498E-05
Bacteroides_uniformis;GCF_000154205;0.000409298;0.000409521;0.000409685
Bacteroides_xylanisolvens;GCF_006546965;0.000118249;0.000118313;0.000118361
Bifidobacterium_animalis;GCF_001688645;0.00577131;0.005774452;0.005776763
Bilophila_wadsworthia;GCF_000701705;0.000842849;0.000843308;0.000843646
Blautia_hydrogenotrophica;GCF_000157975;6.25758E-05;6.26099E-05;6.26349E-05
Clostridium_hathewayi;GCF_000235505;0.001626569;0.001627455;0.001628106
Clostridium_hylemonae;GCF_000156515;3.74835E-05;3.75039E-05;3.7519E-05
Clostridium_lentocellum;GCF_000178835;0.00024217;0.000242302;0.000242399
Clostridium_leptum;GCF_000154345;0.002075632;0.002076763;0.002077594
Clostridium_methylpentosum;GCF_000158655;1.19796E-06;1.19861E-06;1.19909E-06
Clostridium_phytofermentans;GCF_000018685;0.000267079;0.000267225;0.000267332
Clostridium_scindens;GCF_000154505;0.000846011;0.0005;0.0001
Clostridium_sp._7_3_54FAA;GCF_000233515;1.56181E-05;1.56266E-05;1.56329E-05
Clostridium_sp._D5;GCF_000190355;0.000159713;0.0001598;0.000159864
Clostridium_symbiosum;GCF_000189595;0.000797525;0.000797959;0.000798279
Desulfovibrio_sp._6_1_46AFAA;GCF_000224635;0.012924111;0.012931148;0.012936323
Eggerthella_lenta;GCF_000024265;0.003978929;0.003981095;0.003982689
Eggerthella_sp._YY7918;GCF_000270285;0.004536055;0.004538525;0.004540341
Eubacterium_biforme;GCF_000156655;0.022253057;0.022265173;0.022274083
Eubacterium_siraeum;GCF_000382085;0.000189833;0.000189937;0.000190013
Flavonifractor_plautii;GCF_001688625;0.002328315;0.002329583;0.002330515
Helicobacter_winghamensis;GCF_000158455;0.000260543;0.000260684;0.000260789
Lachnospiraceae_bacterium_1_4_56FAA;GCF_000218385;0.000648259;0.000648612;0.000648872
Lachnospiraceae_bacterium_3_1_57FAA_CT1;GCF_000218405;0.021214117;0.021225667;0.021234162
Lachnospiraceae_bacterium_7_1_58FAA;GCF_000242155;0.005196718;0.005199548;0.005201628
Lactobacillus_animalis;GCF_001434535;0.000279608;0.00027976;0.000279872
Mahella_australiensis;GCF_000213255;0.000212464;0.00021258;0.000212665
Marvinbryantia_formatexigens;GCF_000173815;0.000435213;0.00043545;0.000435625
Micavibrio_aeruginosavorus;GCF_000226315;0.000149934;0.000150016;0.000150076
Odoribacter_laneus;GCF_000243215;0.001625716;0.001626601;0.001627252
Odoribacter_splanchnicus;GCF_000190535;0.010252966;0.010258548;0.010262653
Olsenella_sp._oral_taxon_809;GCF_000233535;0.000104627;0.000104684;0.000104726
Oscillibacter_valericigenes;GCF_000283575;0.061322993;0.061356381;0.061380935
Parabacteroides_merdae;GCF_900445495;0.001963259;0.001964328;0.001965114
Parasutterella_excrementihominis;GCF_000205025;0.000142111;0.000142188;0.000142245
Prevotella_ruminicola;GCF_000025925;0.00465995;0.004662487;0.004664353
Prevotella_sp._oral_taxon_302;GCF_000234115;0.006625341;0.006628948;0.006631601
Pseudoflavonifractor_capillosus;GCF_000169255;0.044752455;0.044776821;0.044794741
Pseudomonas_aeruginosa;GCF_000006765;0.00185162;0.001852628;0.00185337
Roseburia_intestinalis;GCF_000156535;0.000447454;0.000447697;0.000447877
Ruminococcaceae_bacterium_D16;GCF_000177015;0.039003911;0.039025147;0.039040765
Ruminococcus_albus;GCF_000179635;0.000295371;0.000295532;0.000295651
Ruminococcus_sp._18P13;GCF_000210095;0.000151119;0.000151201;0.000151262
Subdoligranulum_sp._4_3_54A2FAA;GCF_000238635;0.002974573;0.002976192;0.002977383
Tannerella_sp._6_1_58FAA_CT1;GCF_000238695;0.258704788;0.258845642;0.258949232
[Eubacterium]_infirmum;GCF_900450455;0.000142111;0.000142188;0.000142245
butyrate-producing_bacterium_SS3/4;GCF_000209895;0.00061881;0.000619147;0.000619394
candidate_division_TM7_single-cell_isolate_TM7c;GCF_000170675;0.001282861;0.00128356;0.001284073
